AYPY,POM,杰克逊斯机场,147.218,-9.442,PG,巴布亚新几内亚,,,,,,
ZHYC,YIH,宜昌/三峡,111.48,30.557,CN,中国,该机场西临长江，东靠江汉平原。长江以西为鄂西山地。处于鄂西山区与江汉平原交界的低山丘陵地带，地形较好，平坦开阔，净空良好。机场东北面为汉宜高速公路，与跑道平行，西南面为长江环围，地标较多并且明显。宜昌地处鄂西，属亚热带气候，四季分明。夏季炎热多雨，冬季温湿偏寒。雾天一般出现在冬季11月份至次年3月份，而在12月份出现的雾天气相对最多。雷暴一般集中在7--8月份中，4--6月份次之。全年以静风为主，主导风向多为东南风，其次为北风，西风。年平均风速1.6米/秒。瞬时最大风速可达20米/秒。一般发生在夏季，风向为东南。,,,,,
ZJHK,HAK,海口/美兰,110.458,19.935,CN,中国,北面临海口市，有明显海岸线；西面有南渡河，东面有美兰市Ж机场道面明显，地势平坦。1、冬末至春季多连续性降雨，且多雾，多低云，能见度恶劣。2、雷雨季节长，从三月至十二月均有雷暴出现，雷暴最旺盛时期为5--8月，  以热力性雷暴为主，受台风侵袭时有狂风暴雨。3、十月至翌年二月吹东北风，其它月份吹东南风或东风，    平均风速2-3米/秒，有时出现5-8米/秒的大风，6--9月    为台风出现最多季节Ж受台风影响时风速可达40米/秒。,,,,,
ZJSY,SYX,三亚/凤凰,109.412,18.303,CN,中国,本机场位于海南岛的最南端，地形比较复杂，北靠山区，连绵不断的山丘占据机场北侧的整个净空，海拔高度1000米以上的山峰有尖岭、同安岭等直至五指山主峰（海拔1867米），范围深度约140千米，东偏北方向多为丘陵小山，高度在300--400米之间，西偏北防线距跑道端5.5千米处有山高415.6米，对飞机离场有较大影响；南临大海，地势开阔，所有飞机起落航线和目视盘旋均在跑道南侧进行，本场紧靠铁路和公路，周围点线壮地标明显。1、本机场属热带海洋性季风气候。全年平均气温23度，夏季最高气温38度，冬季最地气温6.6度，空气潮湿，腐蚀严重。2、云状：多出现波状云与积状云。冬季云量约占全年的60%，云高多在400米以上。（全年能见度好Ж无雾，机场靠山边，受上游工厂和水田影响，有时清晨有短时轻雾和烟。3、风：冬季受大陆冷高压影响，多东及东北风，风速6--8米/秒，多出现于1--4月、6月和9--12月。夏季受副热带高压影响，风向偏南，风速4---6吗/秒，海陆风变换明显，在每天早晚8点左右，风速3--4米/秒。4、能见度：一般大于10千米，有时受暴雨影响小于3千米，受霾或轻雾影响小于1千米。5、台风多出现在5--10月，以8、9月最多，风力在6--12级以上，破坏甚为严重。6、天气现象：雷暴发生在2--11月，尤以8--9月最多，多集中在下午、傍晚，降雨集中在5--10月间，每个月在10次以上。,,,,,
ZKPY,FNJ,平壤/顺安,125.673,39.202,KP,朝鲜民主主义人民共和国,,,,,,
ZLDH,DNH,敦煌机场,94.808,40.162,CN,中国,本机场南有三危山、山脚距机场13千米，北有安西到敦煌的公路并与绿洲相连，东西为一望无际之戈壁。整个地形南高北低，点状、线状地标明显，视野开阔。常年干旱少雨、雪，年降水量平均只有29毫米左右。风沙较大，最大风速可达29米/秒，风向以偏西、东居多。春季：冷空气活动频繁，平均3－5天有一次大风、扬沙，能见度较差，天气复杂，影响飞行。夏季：空气干燥，天气炎热，平均气温23°C，最高气温可达44°C以上，雷雨次数不多，低云少见。秋季：降温较快，气压稳定，天气晴朗。冬季：久晴少雪，气候干燥，风力微弱，能见度良好，最低气温可降至-28°C以下。,,,,,
ZLGM,GOQ,格尔木,94.793,36.402,CN,中国,本机场位于昆仑山北麓，柴达木盆地南部戈壁滩上，东、西、北面地形平坦开阔，机场北有东西走向的青藏公路。东面9千米处是格尔木市，并有南北走向的青藏公路。西侧19千米处有一农场，点、线地标较为明显。本机场处于内陆盆地，为大陆性气候，干燥少雨，气温日变化明显，温差较大，早冷午热。平均风速较大，很少出现微风或静风。（1）2－5月份为风沙季节。由于春季气温回升很快，冷空气活动频繁。此季，沿昆仑山口进入机场形成90度侧风山风－偏南大风。不但次数多，而且风速大，有时可达18－20米/秒。此季也是偏南大风出现沙尘暴最多，能见度最差的季节，最差时可小于100米。翻过阿尔金山的冷空气常常造成本场偏西、西北大风和低于天气标准的风沙和浓浮尘，有时可维持2－3天。能见度小于2千米的较强的降雪天气，此季还出现次数不多。（2）6－9月份为降水季节。降水天数多（包括微量），但水量不大，而且多为阵性。后半夜至清晨出现的积雨云维持时间短，降水后很快消散，很少出现大风。但傍晚前后出现的积雨云维持时间长。在降水前多出现短时大于20米/秒的大风和风沙天气，来的突然不易掌握。稳定性降水出现的次数不多，很少持续24小时，2－3天的连续降雨天气出现次数更少，但这是格尔木地区降水量的主要来源。降水多来自于高层云下面的层积云，层积云云高多为1000－2000米，NS及FN出现次数极少，FN高度大约在300－600米左右，维持时间短（3）10－次年元。,,,,,
ZLIC,INC,银川/河东,106.393,38.323,CN,中国,机场位于银川市东侧18.7千米处黄河东岸，黄河、铁路南北走向地标明显。机场南、西、北三侧地形平坦，净空好。机场东、东南侧为山区，对飞机有一定影响，机组注意。本机场属于副热带气候区北部气候。全年多晴空少云天气，冬半年多受西伯利亚冷气团控制，冷空气活动频繁、干燥寒冷。有时出现西北大风，风速可达25米/秒以上，并伴有扬沙、沙暴，能见度恶劣。降雪较少，但雪后可出现大雾，持续时间短。下半年午后时有对流云发展，会出现雷雨冰雹。秋季多云雨，时有低云出现。,,,,,
ZLJQ,JGN,嘉峪关,98.337,39.86,CN,中国,本机场区域为天然戈壁滩，自150°至315°为山区，整个地势由西向东倾斜，西部离山较近，东北平坦，北有长城，南有北大河，兰新铁路和公路，西有嘉峪关市，东有酒泉县城。地标明显易见。(1).本机场属温带干旱气候，降水很少，蒸发量大，冬季严寒，夏季酷热，全年平均温度7.5℃，夏季最热月7 月平均气温21.7℃，最冷月1 月平均气温-9.0℃。(2).降水：年降水量平均值为87.7 毫米，降水年际变化大，最多年降水量为165.7 毫米，最少年为36.0 毫米，一年内降水集中在夏季，6-8 月降水可占全年的65%左右。(3).风：常年盛行偏西风，年平均风味25.7/秒，年最多风向为静风和西南风。全年3-6 月出现大风日数次数最多，平均为11 天。大风、沙尘暴天气主要发生于春季（3-5月）。,,,,,
ZLLL,ZGC,兰州中川机场,103.62,36.515,CN,中国,本机场四周围群山怀抱，地势北高南低，机场北，东方向10-15千米内，地势较平坦，开阔。西南和西北方向山势较高，在机场333度，45.7千米处山高海拔2941米，距跑道300米处分散的山头高出道面为30-100米左右，西22千米处有庄浪河，兰新铁路、公路，南40千米处有黄河；东约30千米有兰包铁路和兰银公路，地标明显易见。      本机场区域常年多晴好天气，阴雾日数不多。气候比较干燥，年平均为53%相对湿度，多风沙，少降水。年总降水量250毫米左右，一半以上集中于夏季，冬季降水量不足3毫米。春季（3-5月）：冷空气活动频繁，常伴有偏北大风、风沙和浮尘。夏季（6-8月）：夏季多雷阵雨天气，年平均25日。雷阵雨多出现在午后至傍晚，上午和夜间多晴朗无云，能见度良好。秋季（9-11月）：多晴朗天气，偶有辐射雾，但维持时间不长。冬季（12-2月）：蒙古高压控制，气候干冷，天气晴好，风力大，是飞行的最好季节。,,,,,
ZLQY,IQN,庆阳/西峰,107.6,35.8,CN,中国,本机场位于陇东黄土高原的董志源上，周围地形开阔，地势平坦，机场西北方向高，东南方向低，以小于千分之十的比降向东南倾斜，净空条件良好。机场区域内飞行安全高度为2276米。本机场属大陆性气候。冬半年多西北风，夏半年多西南风。大风（大于17米/秒）每年出现3－4次，多为西北风。年平均降水量600毫米左右，集中在七、八、九月份。盛夏有雷雨和冰雹，最大降水量190毫米。冬末初春冻雨出现，可使飞机结冰，最热月（七月）平均气温22°－23°，极端最高气温39.6°C，极端最低气温-22.4°C，最大冰冻深度82厘米。春季（4－5月）：天气回暖快，气温变化剧烈。降水少，风力大，加之空气干燥，地表裸露，故多风沙、浮尘天气，能见度差，影响飞行正常。夏季（6－8月）：温度高，降水多，且较集中，盛夏由于气温高，温度大，对流旺盛。常出现浓积云，积雨云及雷阵雨、大风等复杂天气。秋季（9－10月）：多阴雨，气温日变化大。由于空气湿度大，雾多。冬季（11－3月）：降水偏少，气候干燥，降雪后易出现浓雾，有时会出现低云。,,,,,
ZLXN,XNN,西宁机场,102.043,36.528,CN,中国,本机场位于湟水流域。大峡和小峡之间，四周环山，地形复杂。周围山高平均在海拨2500米以上。跑道西端（距中心282°、12.1千米处）有黑虎旗山，高出场面353米，对飞行影响较大。跑道东端250米处有20？30米深沟。机场南面兰青铁路、公路、湟水河与跑道平行，地标明显易见。春季（2－5月）：偏西大风，并伴有沙尘，影响能见度，风力一般是5－6级，最大可达10级以上，午后山风多。夏季（5－8月）：多对流云和雷阵雨，下午最盛，有时覆盖机场，影响飞行。秋季（8－10月）：以低云降水为主，有时可连续几天，云高低于1000米。冬季（11－2月）：晴天少云。,,,,,
ZLXY,XIY,西安/咸阳,108.752,34.447,CN,中国,机场位于关中平原，周围地形平坦，净空良好。机场南边45KM为横贯东西的秦岭山脉，平均海拔高度在2000米以上，其中静峪脑山峰海拔高达3015米，位于跑道中心磁向194度距离69.3米。机场北边有海拔高度1422米的嵯峨山和1467米的五峰嵯峨山位于跑道中心磁方位8度58分距离31KM，五峰山位于跑道中心磁方向308度距离52KM。机场北侧有泾河，由西北向东南流入渭河。南有铁路、渭河、地表明显易见。本场属于副热带气候区北部气候，冬夏两季多晴天，春秋两季多阴雨。春季（3-5月）：冷暖空气交汇，东北风较大，多阴雨，浮沉天气，影响飞行能见度。夏季（6-8月）副热带气压控制时间较长，天气晴朗、炎热，雷暴天气多出现于午后或傍晚。秋季（9-11月）：冷空气活动频繁。多阴雨、低云天气、有时长达30余天。冬季（12-2月）：受冷气团控制，雨雪稀少、泾河、渭河晨雾随风移来时，浓度大，能见度低劣。,,,,,
ZLYL,UYN,榆林/西沙,109.73,38.27,CN,中国,机场区域属丘陵地带，东部和南部为山地，西部和北部为沙漠，机场东侧有南北走向的榆溪河，东北有榆林市和长城，地标明显易见。春季（3－5月）：冷空气活动频繁，多大风和风沙，以四月份最为严重，风速可达30米/秒，俗称“四月风”。夏季（6－8月）：可出现20个以上的雷暴日，雷雨多东西方向移动，云底较高，降水量较少。秋季（9－11月）：多雨，常出现低云，夜间雨后转晴，次日易出现雾。冬季（12－2月）：干冷，最低气温可达零下20多度。,,,,,
ZMUB,ULN,乌兰巴托布彦特乌卡机场,106.767,47.843,MN,蒙古,,,,,,
ZPDL,DLU,大理/荒草坝,100.318,25.65,CN,中国,地处滇西北横断山脉最南端，金沙江与澜沧江过渡地带，洱海盆地南部。地形总趋势西北高，东南低。全区山势陡峭挺拔、河谷纵横深切其间，海拔悬殊较大。大理机场场址位于洱海东南岸，南北走向的一小山丘上，东靠群山，西邻洱海、点苍山。机场周围四面环山，地形较为复杂。东侧净空较差，南北两端净空稍好，西侧净空较好。位于跑道中心磁方位035°，4.8千米处的大青山海拔高度2603米，对着陆影响较大。位于跑道中心磁方位194°、8.6千米处的凤山海拔高度2340米，对起飞影响较大。本场半径50KM内最高障碍物是苍山马龙峰海拔4122米。属低纬度高原季风气候，具有冬暖夏凉，干、湿季分明和日温差大而年温差小特点。雨季：5？10月，多降水、低云天气，降雨量占全年的80%；干季：11月至次年4月多晴朗少云天气，能见度较好。全年少雾；年均雷暴日为43天，属少至中雷暴区，雷暴多出现在午后，夜间偶有出现。云高小于300米、能见度小于5000米的天气现象少出现。机场盛行南南东风和南风，年均风速5.2米/秒，瞬间最大风速31.0米/秒，另外由于机场地处洱海东南岸海陆风场，苍山环流和机场场址与周围地势差异造成了风向风速局部变化，对飞行有一定影响。,,,,,
ZPDQ,DIG,迪庆/中甸,99.678,27.79,CN,中国,迪庆地处青藏高原的东南边缘，横断山脉的南端北段。境内金沙江，澜沧江、怒山、云岭、中甸雪山这两大水系三大山脉由西向东相间排列，从北向南平行而行，整个地势由北向南逐渐降低，地形似肺状。在山脉中，高山、湖泊和雪山星罗棋布，到处飞瀑流泉。机场位于中甸县城西南，南北长36千米、东西宽不足5千米的草甸地势平缓，四周群山环抱。跑道北、东、南三个方向地势相对平缓，西侧地势陡峻。南端较好可以满足起飞、降落净空要求，北端稍差仅能满足着陆净空要求。在进近、起飞、着陆范围内的地形复杂。机场半径50千米范围内最高障碍物为4738米。本地区属温带－寒温带气候，具有干湿分明的季风气候特点。干季11月至翌年4月，多晴天少云天气；湿季5月？10月，多阴天多云天气。另外还具有立体气候，旱涝交错，以旱居多，区域性、坡向性等显著特点。机场年平均最高气温13.1°C、平均最低气温0°C，绝对最高气温21.5°C，绝对最低气温？19.1°C，素有长冬无夏，春秋相联的气象特征。年降雨量350？1100毫米，平均降雨日数138.9天，降雨期7月中旬？8月，年平均降雨量643毫米。每年10月至翌年4月降雪，年均降雪日35.7天，厚度14厘米。风向多为西南风，年均风速2.3米/秒，最大风速17？24米/秒，静风率36.0%。全年少雾，全年雾日仅有10天左右。每年10月中旬？翌年4月初为冰冻期，年平均冰冻日数127.1日。,,,,,
ZPJH,JHG,西双版纳/嘎洒,100.762,21.973,CN,中国,本机场西南、西北净空较差，部分山峰海拨2100？？2200米，地势险要，对飞行影响较大。东北面较开阔，东南面稍次。在机场中心308°、30千米处有一桦竹梁子山标高2429米；220°方向17Ж5千米处有一南勒各梅山标高2196米，归航台以南17千米处靠近中老边界，机场东北方向有澜沧江，地标明显易见。景洪处于低海拨地区，高空受西南和东南气流影响，地面因受地形影响，常年多静风天气，年静风日可达260天左右，有风时多为东南风。年平均风速0.5米/秒，干湿交换季节瞬时最大风达9级以上。年平均气温21.8°C，根据本地气候特点，可分为高温干旱季节、雨季和雾季。1、高温干旱季节（3？5月）晴天为主，最高温度可达40°C。雷雨前有突发性短时阵性大风。2、雨季（6？10月）：雷阵雨频繁，多低云，云底高度一般在600？1000米。常为静风或微风天气。3、雾季（11？12月）：以晴天为主，早上3？12时有雾笼罩。12时后，雾即消散，能见度良好。,,,,,
ZPLJ,LJG,丽江/三义*,100.245,26.68,CN,中国,地处青藏高原东南边缘，滇西北横断山脉纵深地带东部、金沙江南岸。地形总趋势西北高、东南低。全区山势陡峭挺拔、河谷纵横深切其间，海拔悬殊大。三义机场场址位于丽江坝子与鹤庆坝子结合部，靠近鹤庆坝子，东靠群山，西邻漾弓江。机场周围四面环山，地形较为复杂。“V”字型南北走向的鹤庆坝子东西宽3？7千米，南北长33千米，东西两侧被南北走向的山体所包围，造成机场东、西两侧净空不能满足飞行要求，而南北纵向端净空较好。本场半径50千米内最高障碍物是玉龙雪山，海拔5596米。属低纬度温带高原山地季风性气候；由于海拨悬殊较大，造成从南亚热带到高寒带立体气候分布。具有高原气候特征：风和日丽、天高气爽，干、湿季分明。年平均温度13.6°C，年平均最高温度20.53°C，平均最低7.4°C；年均降水量941.5毫米，其中6？10月上旬降水占全年的83%；年均雾日5.8天，多为轻雾，一般出现在10－12月份且在8点30分前消散；雨季（6－10月）傍晚多雷暴，年均雷暴日66天。年均晴天220天。丽江机场盛行风向是西南风（24.9%），其次是西西南（13.3%）及南西南风（12.1%）。年平均风速为2.6m/s。最大为2月份3.4m/s，最小为8月份1.9m/s。年大风日数（风速≥17m/s）为15.9天。5－10月份主要是雷暴大风，11－4月份主要是动量下传大风。由于受地形影响，丽江机场的风有明显的日变化，11时以前一般吹东北风，11时以后一般吹西南风。主降跑道20号，早上顺风较多，下午逆风较多。风向为顺风（N、NNE、NE、ENE）的频率为18.1%。能见度较好，一般大于3公里，最低云高1000？1400米，极端最低云高800米。冬季吹北风时天气晴朗、少云，夏季吹北风时，云高500？100米，能见度最低到200米。丽江机场年平均修正海平面气压1022.1hpa，平均最高1026.4hpa。,,,,,
ZPMS,LUM,德宏/芒市,98.532,24.402,CN,中国,本机场位于潞西西南方向较平坦地带，在机场周围5KM以外均为山区，地势起伏较大。机场磁方位72°、40KM处有座大雪山，在航站区域内，标高3001米。机场西南方向向净空较好。主要地标有昆碗公路和芒市河，明显易见。本地区具有南亚热带南部气候特征（又称准热带气候），气候温和，雨量充沛，降雨量年均为1910mm。全年多为西南风，最大风速25米/秒，静风率43.3%，全年可分旱、雨两季。旱季：1？4月，晴天为主。雨季：4？11月，多雷雨、低云天气，云底高一般200/500米。每年9月至次年3月为多雾天气，一般在凌晨3点左右形成，天亮前后最浓，11点左右消散，雾散后能见度较好。4？10月为多雷暴天气，午后雷暴较为频繁。,,,,,
ZPPP,KMG,昆明/长水,102.742,24.992,CN,中国,本机场东北方向离山较近，地形由高到低成缓坡形接近机场，其它方向在10KM范围内地形较平坦。南北走向的西山位于机场中心240度、12.5KM处，山高2506米，对飞行影响较大。50KM半径内最高障碍物为梁王山电视塔，高度2909米（塔高89米）。本机场东北有黔昆铁路，东南有抚仙湖，西南有滇池，地标明显易见。由于受云贵高原的特殊地形和季风的影响，一般分为干季和雨季。干季（11-5月）：晴天多，雨天少，干燥，天气稳定，平均温度10度以上，多西南风，风速最大15米/秒，能见度良好。冬季寒潮南下时，可出现低云（云高200米左右）。雨季（6-10月）：阴天多，雷暴频繁，有阵性降水，云高600-1000米，能见度一般在10KM以上，较大降水时偶尔使能见度小于4KM，单时间不长。平均温度20度左右。,,,,,
ZSAM,XMN,厦门/高崎,118.127,24.545,CN,中国,机场地势较高，地势较为平坦。东北断临海，地势较低西南断临厦门港，人工建筑物较多、较高，对起降飞行有一定的影响。跑道西南端外只有40米平地，40米之外为ILS 航向台的架空反射网（不承重）。春季（3-6月）：多阴雨，常有碎雨云产生，云底高常在200米以下，能见度往往小于4千米。大雾多在3-5月产生，每月平均有3-4天。雷暴一般从3月开始，隐蔽在雨层云之中或层积云之上，多出现于夜间和凌晨，维持时间可达一天。3-4月多东北和东风，5-6月多东南和南风，平均风速3-4米/秒。夏季（7-9月）：天气晴朗，每月约有5-10个雷暴日，多产生在午后到傍晚。台风对本地区影响较大，当台风中心经过时有狂风暴雨，风速可达38米/秒以上，极大风速曾达60米/秒。因受亚热带海洋性气候和台湾海峡特殊地形的影响，7-8月风的日变化明显，一般上午西和西南风，午后转为东南风 。九月多东北风。秋季（10-11月）：秋高气爽，多东北风。冬季（12-2月）：晴阴相间，降水较少，有时早晨有雾，能见度差，多东北风。,,,,,
ZSAQ,AQG,安庆,117.05,30.582,CN,中国,本机场地处长江北岸之丘陵水网地带，西北有大别山脉，东南为皖南山区。北靠大龙山，西临百子山丘地带，跑道东南侧净空较好。四季较分明。夏季气温一般为33°C？34°C，最高可达39.5°C，冬季气温一般在零下1°C？9°C，最低可达零下9.5°C。受地形影响，夏季西南风，其它季节以东北季风为主；雨季在5？6月份，降雨量约占全年86%；能见度夏好冬差；大雾天气夏季平均每月出现一天，冬季4？5天；能见度一般在6点？7点转坏，8点30分？9点30分转好。若遇气流稳定，又有2米/秒以下的西？西南风，小于4千米的能见度可持续到11点后。,,,,,
ZSCG,CZX,常州/奔牛,119.777,31.92,CN,中国,长江西北地势平坦，河流纵横，湖泊沼泽较多，西和西南部有少量小山区内明显地标有长江与沪宁铁路，机场净空良好。春季多阴雨，云层中偶有积雨云，应特别注意；夏季六月到七月中旬为梅雨季节，多低云，七月中旬到九月中旬午后常有雷雨；秋季的初、晚秋多阴雨，中秋以晴为主；冬季多晴天。本地区为水网地带，早晨常有雾，能见度较差，冬季一般九点以后可转好。,,,,,
ZSCN,KHN,南昌/昌北,115.898,28.863,CN,中国,本机场位于南昌市正北约21千米处的土丘地带Ж东面有鄱阳湖Ж西靠京九铁路Ж西南26千米处有杨梅山，高841米，西侧丘陵地带，其他方向地势较平坦。本机场属亚热带湿润气候，四季分明，春季阴雨日较多，夏季降雨集中，降水量占全年70%左右，年平均降水量1596.4mm，平均气温17.5度，最热月为7月，平均最高气温33.8度，极端最高气温40.6度，最冷月为1月，平均气温2.2度，极端最低气温-9.7度，全年以北东风为最多，夏季多偏南风，最大风速不大于15.4M/S，1月至11月均可出现雷雨，6月至8月最盛，大雾多可出现在12月和1月。,,,,,
ZSDY,DOY,东营,118.788,37.508,CN,中国,本机场位于山东东营市以东13千米处，机场区域内地形平坦，属黄河下游冲积平原，因此，净空条件良好。东营市地处黄河三角洲，东、北两面毗邻渤海。气候温和四季分明，属温带季风性大陆气候。冬季半年处在蒙古高压东南侧，频受强劲偏北大风影响。夏季半年处在西太平洋副热带高压西侧，偶尔有北上热带风暴的影响。春季气温回暖快，降水少，风速大，气候干燥；夏季气温高，湿度大，降水集中；秋季气温急降，雨量巨减，秋高气爽；冬季雨雪稀少，寒冷干燥。东营市一年四季均可出现雾，年平均雾日为13.4天，最多19天，最少9天，11、12月是多雾月，且多辐射雾，大多发生在晚上至第二天10时，10时至12时逐渐消失。台风主要集中在7？9月，大风风向以东东北和东北风最多，其次是北和西北风。,,,,,
ZSFY,FUG,阜阳,115.733,32.882,CN,中国,冬季冷空气活动频繁，多偏北风，对飞行有影响的天气主要是12月和1月的降雪和低能见度。春季气旋活动频繁，天气多变，仍以晴天为主，干燥多大风，4？5月间有雷雨并伴有大风出现。,,,,,
ZSFZ,FOC,福州/长乐,119.663,25.935,CN,中国,长乐机场位于福州市东南东38.8公里处，北有闽江口，东、南临海，半径5公里之内无高山，地势较为平坦。再向西、西北、西南延伸，高山环抱，地势较为复杂，特别是西面500米？1000米的山接连不断。1.多辐射雾：（2月----5月）雾日月平均12天。一般出现在下半夜至次日12点20分。有时伴有平流雾和平流低云，天顶多不可辩。2.多低云：（12月----次年4月）低云天数年平均109天 ，占总阴天数的55.9%。其中低云云高小于等于200米的年平均日数为6.3天。3.气温高：（6月----9月）尤以7、8月温度最高。4.雨水多：（3月----9月）雨季在3月----6月，降雨量月平均在100mm以上，雷阵雨雨量可延长到9月，尤以6、7月的大雷雨雨量大，最大暴雨量可达108.5mm，暴雨年平均为4.3次，出现频率占全年暴雨量的65%。5.台风：（7月----12月为多）台风可出现4天连续性大风，日降水量92.5mm，整个过程雨量高达189.8mm。,,,,,
ZSGS,JGS,井冈山,114.737,26.858,CN,中国,东靠京九铁路和105国道，东南有粤赣高速公路，机场四周山丘环抱，静空条件相对较好。本机场属亚热带湿润气候，四季分明。春季阴雨天较多，夏季降雨集中，降水量占全年63%，年平均降水量1405.9毫米。平均气温18.6℃Ж最热月为7月Ж平均最高气温32.5℃Ж极端最高气温41.5℃；最冷月为1月，平均气温6.6℃，极端最低气温-6.0℃。全年以北风为最多，夏季多偏南风，最大风速不大于40米/秒。1至12月均可出现雷雨，8月最盛。大雾多可出现在11月至3月。,,,,,
ZSGZ,KOW,赣州/黄金,114.912,25.827,CN,中国,本机场位于上犹河湾之内，跑道南端距江只有1千米。东北方向5千米处是赣州市、四周均为山区，北面至西南方向半径10千米内的山，海拔高度在200米以下，东北方向至南面半径6千米以内的山，海拔高度在200米以下；1000米以上的高山均在机场东南方向。冬季阴沉，春季细雨连绵，秋季秋高气爽，夏季多暴雨。冬半年多偏北风，夏半年多偏南风，初夏有较大的西北风，对运五飞机有较大影响。雷雨较频繁，几乎全年皆有，出现在下午至傍晚。春天多静止锋雷雨，产生于后半夜至早晨，上午消散，下午再起；夏天多气团性雷雨。冬、春低云多在锋后出现，云底为300米左右。大雾多出现在冬季，后半夜至清晨形成，9点左右消散。,,,,,
ZSHC,HGH,杭州萧山机场,120.433,30.23,CN,中国,杭州萧山机场跑道与笕桥机场跑道基本平行，位于钱塘江南岸，机场净空较好，北侧、东端比南侧、西端好。跑道南侧5.5千米处有海拔高317.3米的航坞山。(一)、气象特征萧山机场地处钱塘江沿岸，水汽充沛，每年冬春季节多辐射雾和平流雾，大多在天亮前后出现，到9？10点减弱。一般一年平均40天左右大雾，最多为83天；春季和梅雨期间有低云，雷雨和台风时也有阵性低于80米的低云；3？9月出现雷暴，7、8月最多，偶有冰雹和龙卷风，年平均雷暴日43.1天；8、9月为台风活跃季节，有影响的台风每年1？2次；萧山地区盛行偏东风，平均风速2.3米/秒；历年平均降水日数174天，平均每月15天，其中六月梅雨季节雨水最多，全年平均降水量1395mm。,,,,,
ZSJD,JDZ,景德镇/罗家,117.172,29.34,CN,中国,本机场位于景德镇市西北8千米处。机场西、南两面有西河，东面有昌江，四周均为小山，主要山区在南、北两面，东面山区距机场较远，山高均在海拔1000米左右。冬、春两季锋后降水性的天气多低云，云高300？400米， 有时200？300米，当本场有西南风时，鄱阳湖上的低云常影响本场，大雾大多数集中在3、11、12月早晨九点半以前。年平均雾日数31天，每月平均1？7天。 年平均降水量1740mm，大量集中在3？6月，占年降水量的57%。雷暴日平均每年54天，多发生在3？9月。 春、秋、冬季为东北风，夏季多南风。场区主要风向为东北风，占全年13.7% 。,,,,,
ZSJJ,JIU,九江/庐山*,115.802,29.477,CN,中国,本机场位于庐山西部丘陵地带，周围多山，净空条件差，东北15公里处有海拔1372米的晒谷石山和1474米的汉阳峰；机场四周有多个百米至数百米的山峰。对进近飞行，特别是有东北向西南的进近飞行影响很大。机场东南30公里鄱阳湖，西南40公里有五新水库，北部30公里有东西向的长江，东有南昌至九江的铁路、公路。九江地处亚热带季风气候区，四季分明，降水主要集中在4-6月份，全年降水日为142天，降水量为1412.4年雷暴日为46天，主要出现在11月-次年4月。全年多盛行东北风，夏季行东南风，平均风速为2.8米/秒。,,,,,
ZSJN,TNA,济南遥墙机场,117.215,36.857,CN,中国,机场位于济南东北方向30千米处，机场西、北、东均为平原，地势平坦，机场南20千米开始进入丘陵和山区，净空条件良好。机场西4千米是东北西南走向的黄河，东12千米是白云湖，南10千米是济青高速公路，15千米是胶济铁路，机场进场路与济青高速公路相连，交通方便。春季（4-5）月较短，冷暖空气活动频繁，多大风，扬沙和浮尘，影响能见度，时有渤海平流低云出现。夏季（6-8）月较长，由于受太平洋暖高压影响，天气炎热，最高气温出现过42.5度，多对流云和雷阵雨，雨后早晨时有轻雾出现。秋季（9-10）月：较短，秋高气爽，多晴好天气。冬季（11-3）：是全年最长的季节，受强大冷高压控制，天气寒冷，最低气温曾达-20.6度，少雨雪，多辐射雾。,,,,,
ZSJU,JUZ,衢州,118.9,28.967,CN,中国,机场北有衢江，南有浙赣铁路，东有乌溪江，西临衢州市。跑道西北侧有千里岗，有磨心尖、白莉花山等组成，走向东北？西南。跑道东南侧有仙覆岭，群山起伏，有水门山、白马山组成，并与九龙山等重叠相连。跑道两端主要是山丘地形，地势比较平坦。本机场地处中纬度，属副热带季风气候，四季分明，温暖湿润，云系多，变化快，风的地方性特点突出，能见度秋季较好，受台风危害小。冬季常有雨雪，夏季炎热多暴雨，秋季晴朗少雨，历年最高气温40.5°C，最低-11.2°C。全年简单气象多集中在下半年：复杂气象多集中在3？5月份，低气象多集中在2？3月份。,,,,,
ZSLG,LYG,连云港/白塔埠,118.873,34.572,CN,中国,机场区域南部和西部为平原地带；北部多山丘；东临黄海，海岸曲折。区域内多河流、水库、湖泊。机场北面有鲁兰河、新沐河，南面有房山水库、淮沐新河、陇海铁路。机场易于识别，地势平坦，净空良好。本场地处暖温带，四季分明。春季多低碎云，多浮尘，影响能见度。雷阵雨和降水集中在夏季，六、七月份的降水量占全年总降水量百分之六十九。本地多吹东北和西北风，尤以3？6月最多，四季均受雾的影响，春夏两季影响最多。夏季最高气温曾达39.7°C，冬季最低气温曾达零下21°C。,,,,,
ZSLQ,HYN,台州/路桥,121.428,28.563,CN,中国,整个区域西高东低，西部为括苍山区，东部为东海，海岸线明显，大致方向030°？210°，沿海岸线由北向南有三门、台州、乐清等港湾，瓯江和椒江分别横贯机场区域的南北。宁波到温州的二级公路纵贯整个场区。本机场处于浙江沿海，天气复杂多变。春季受静止锋影响，以阴雨天为主；夏季受副高压控制，以晴热天为主，但常有雷雨和台风出现；秋季为冷暖空气交换季节；冬季天气稳定，夏秋季节风向一般为东南风，冬春季节一般为西北风。,,,,,
